megalomania,"A psychopathological condition characterized by delusional fantasies of wealth, power, or omnipotence."
edicts,A proclamation of law or other authoritative command.
epistemic,Of or relating to knowledge or cognition; cognitive.
syllogism,"An argument whose conclusion is supported by two premises, of which one contains the term that is the predicate of the conclusion, and the other contains the term that is the subject of the conclusion; common to both premises is a term that is excluded from the conclusion."
opined,"To have or express an opinion; to state as an opinion; to suppose, consider (that)."
shounen,A style of Japanese animation and comics aimed at a younger male audience.
farcical,Resembling a farce; ludicrous; absurd.
grokked,"To understand (something) intuitively, to know (something) without having to think intellectually."
pilloried,To put in a pillory.
saleable,Something that can be sold.
mononym,"A single name by which a person, thing etc is known."
chided,To admonish in blame; to reproach angrily.
counterfactual,"A claim, hypothesis, or other belief that is contrary to the facts."
ceteris paribus,All other things being equal; with all other things or factors remaining the same; other things held constant; all else unchanged.
heretofore,"Prior to now, until now, up to the present time; from the beginning to this point. dismay, A sudden or complete loss of courage and firmness in the face of trouble or danger; overwhelming and disabling terror; a sinking of the spirits"
curmudgeons,A miser.
bunglingly,clumsily awkward or inept
corpora,"A collection of writings, often on a specific topic, of a specific genre, from a specific demographic or a particular author, etc."
androgyny,the quality or state of being neither specifically feminine or masculine : the combination of feminine and masculine characteristics : the quality or state of being androgynous
contemptuous,Showing contempt; expressing disdain; showing a lack of respect.
contemptible,Deserving contempt
isomorphism,the quality or state of being isomorphic: such as
ambivalence,"The coexistence of opposing attitudes or feelings (such as love and hate) towards a person, object or idea."
hyperstition,"A fictional entity, concept, or narrative that, through its own propagation and belief, creates or influences the conditions of its own reality."
abstruse,Difficult to comprehend or understand.
forebearers,"ancestor, forefather"
achromat,A lens that imparts little color; a lens that is achromatic.
microbiota,"The microbial flora harbored by normal, healthy individuals."
Prevarication,to deviate from the truth : equivocate
epistemic,Of or relating to knowledge or cognition; cognitive.
throught,An idea or opinion formed in the mind.
